Year,Round,Pick,Player,Team,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%
2021,4,23,Jackson,Bears,6.0,11.0,0.0,17.0,,,,,6.0,11.0,0.0,17.0,0.35294117647058826,,0.35294117647058826
2021,4,24,Mike,Giants,4.0,13.0,0.0,17.0,,,,,4.0,13.0,0.0,17.0,0.23529411764705882,,0.23529411764705882
2021,4,25,Jordan,Panthers,5.0,12.0,0.0,17.0,,,,,5.0,12.0,0.0,17.0,0.29411764705882354,,0.29411764705882354
2021,4,26,JP,Jets,4.0,13.0,0.0,17.0,,,,,4.0,13.0,0.0,17.0,0.23529411764705882,,0.23529411764705882
2021,4,27,Brandon,Eagles,9.0,8.0,0.0,17.0,7.0,0.0,1.0,1.0,9.0,9.0,0.0,18.0,0.5294117647058824,0.0,0.5
2021,4,28,Dan,Raiders,10.0,7.0,0.0,17.0,5.0,0.0,1.0,1.0,10.0,8.0,0.0,18.0,0.5882352941176471,0.0,0.5555555555555556
2021,99,29,Leftover,Jaguars,3.0,14.0,0.0,17.0,,,,,3.0,14.0,0.0,17.0,0.17647058823529413,,0.17647058823529413
2021,99,30,Leftover,Bengals,10.0,7.0,0.0,17.0,4.0,3.0,1.0,4.0,13.0,8.0,0.0,21.0,0.5882352941176471,0.75,0.6190476190476191
2021,99,31,Leftover,Lions,3.0,13.0,1.0,17.0,,,,,3.0,13.0,1.0,17.0,0.17647058823529413,,0.17647058823529413
2021,99,32,Leftover,Texans,4.0,13.0,0.0,17.0,,,,,4.0,13.0,0.0,17.0,0.23529411764705882,,0.23529411764705882
2020,1,1,Mike,Patriots,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2020,1,2,Alex,Chiefs,14.0,2.0,0.0,16.0,1.0,2.0,1.0,3.0,16.0,3.0,0.0,19.0,0.875,0.6666666666666666,0.8421052631578947
2020,1,3,Brandon,Ravens,11.0,5.0,0.0,16.0,5.0,1.0,1.0,2.0,12.0,6.0,0.0,18.0,0.6875,0.5,0.6666666666666666
2020,1,4,Dan,Cowboys,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2020,1,5,JP,Buccaneers,11.0,5.0,0.0,16.0,5.0,4.0,0.0,4.0,15.0,5.0,0.0,20.0,0.6875,1.0,0.75
2020,1,6,Jackson,49ers,6.0,10.0,0.0,16.0,,,,,6.0,10.0,0.0,16.0,0.375,,0.375
2020,1,7,Jordan,Saints,12.0,4.0,0.0,16.0,2.0,1.0,1.0,2.0,13.0,5.0,0.0,18.0,0.75,0.5,0.7222222222222222
2020,2,8,Jordan,Packers,13.0,3.0,0.0,16.0,1.0,1.0,1.0,2.0,14.0,4.0,0.0,18.0,0.8125,0.5,0.7777777777777778
2020,2,9,Jackson,Bills,13.0,3.0,0.0,16.0,2.0,2.0,1.0,3.0,15.0,4.0,0.0,19.0,0.8125,0.6666666666666666,0.7894736842105263
2020,2,10,JP,Steelers,12.0,4.0,0.0,16.0,3.0,0.0,1.0,1.0,12.0,5.0,0.0,17.0,0.75,0.0,0.7058823529411765
2020,2,11,Dan,Eagles,4.0,11.0,1.0,16.0,,,,,4.0,11.0,1.0,16.0,0.25,,0.25
2020,2,12,Brandon,Vikings,7.0,9.0,0.0,16.0,,,,,7.0,9.0,0.0,16.0,0.4375,,0.4375
2020,2,13,Alex,Seahawks,12.0,4.0,0.0,16.0,3.0,0.0,1.0,1.0,12.0,5.0,0.0,17.0,0.75,0.0,0.7058823529411765
2020,2,14,Mike,Rams,10.0,6.0,0.0,16.0,6.0,1.0,1.0,2.0,11.0,7.0,0.0,18.0,0.625,0.5,0.6111111111111112
2020,3,15,Mike,Titans,11.0,5.0,0.0,16.0,4.0,0.0,1.0,1.0,11.0,6.0,0.0,17.0,0.6875,0.0,0.6470588235294118
